Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
2153.706,-0.10346,0.03519,0.01229
2154.188,-0.09499,0.03763,0.01566
2154.67,-0.08638,0.03911,0.01775
2155.152,-0.07771,0.03971,0.01847
2155.635,-0.06902,0.03962,0.01777
2156.117,-0.06044,0.03911,0.01567
2156.599,-0.05202,0.0384,0.01217
2157.081,-0.04386,0.03755,0.00731
2157.563,-0.03601,0.03656,0.00116
2158.045,-0.02853,0.03537,-0.00606
2158.527,-0.02149,0.03405,-0.01409
2159.01,-0.01491,0.03281,-0.02252
2159.492,-0.0089,0.03199,-0.0309
2159.974,-0.00356,0.03196,-0.03874
2.16E+03,9.61E-04,0.03295,-0.04567
2160.938,0.00456,0.03496,-0.05142
2161.42,0.00712,0.03767,-0.05596
2161.902,0.00862,0.0405,-0.05947
2162.385,0.00909,0.04278,-0.06233
2162.867,0.00861,0.04387,-0.06509
2163.349,0.00729,0.04342,-0.06835
2163.831,0.00531,0.04134,-0.07267
2164.313,0.00281,0.03783,-0.07848
2.16E+03,-3.11E-05,0.03324,-0.08597
2165.277,-0.00304,0.028,-0.09506
2165.76,-0.00601,0.02251,-0.10536
2166.241,-0.00883,0.01708,-0.11629
2166.724,-0.0114,0.012,-0.12707
2167.206,-0.01375,0.00756,-0.13689
2167.688,-0.01601,0.00398,-0.14497
2168.17,-0.01841,0.00144,-0.15072
2168.652,-0.02125,-8.34E-05,-0.15377
2169.134,-0.02472,-7.82E-04,-0.15412
2169.616,-0.02897,-0.00117,-0.15208
2170.099,-0.03396,-0.00192,-0.14834
2170.581,-0.0396,-0.00376,-0.14387
2171.063,-0.04571,-0.00736,-0.13978
2171.545,-0.0522,-0.01314,-0.13719
2172.027,-0.05905,-0.02122,-0.13704
2172.509,-0.06636,-0.03147,-0.13988
2172.991,-0.07426,-0.04348,-0.14582
2173.474,-0.08279,-0.05678,-0.15438
2173.956,-0.09182,-0.07086,-0.16475
2174.438,-0.10098,-0.08521,-0.17583
2174.92,-0.1097,-0.0993,-0.18664
2175.402,-0.11735,-0.11262,-0.19648
2175.884,-0.12336,-0.12463,-0.2051
2176.366,-0.12741,-0.13482,-0.21275
2176.849,-0.12946,-0.14285,-0.21996
2177.331,-0.12977,-0.14856,-0.22729
2177.813,-0.12871,-0.15203,-0.23511
2178.295,-0.12665,-0.15355,-0.24341
2178.777,-0.12379,-0.15357,-0.25184
2179.259,-0.12021,-0.15258,-0.25983
2179.741,-0.11588,-0.15114,-0.26677
2180.223,-0.11078,-0.14969,-0.27221
2180.706,-0.10507,-0.1486,-0.27599
2181.188,-0.09915,-0.14811,-0.27828
2181.67,-0.09355,-0.14833,-0.27953
2182.152,-0.08882,-0.14923,-0.28035
2182.634,-0.08539,-0.15063,-0.28135
2183.116,-0.08337,-0.15226,-0.28308
2183.598,-0.08262,-0.15379,-0.28593
2184.081,-0.08277,-0.15495,-0.29014
2184.563,-0.08346,-0.15555,-0.29572
2185.045,-0.08444,-0.15551,-0.30259
2185.527,-0.08579,-0.15481,-0.31049
2186.009,-0.08783,-0.15352,-0.31912
2186.491,-0.09106,-0.15167,-0.32807
2186.973,-0.09592,-0.14922,-0.33691
2187.456,-0.10266,-0.14607,-0.34517
2187.938,-0.11118,-0.14214,-0.35241
2188.42,-0.12104,-0.13739,-0.35819
2188.902,-0.13159,-0.13194,-0.36219
2189.384,-0.14216,-0.12602,-0.36419
2189.866,-0.15223,-0.11998,-0.36412
2190.348,-0.16146,-0.11422,-0.36205
2190.831,-0.16976,-0.10901,-0.35825
2191.313,-0.17718,-0.10455,-0.35315
2191.795,-0.18382,-0.10087,-0.34726
2192.277,-0.18969,-0.09789,-0.34116
2192.759,-0.1948,-0.09553,-0.33535
2193.241,-0.19906,-0.0937,-0.33022
2193.723,-0.20242,-0.09235,-0.32602
2194.206,-0.20483,-0.09147,-0.32277
2194.688,-0.20642,-0.09101,-0.32044
2195.17,-0.20731,-0.09087,-0.31884
2195.652,-0.20776,-0.09085,-0.31778
2196.134,-0.20799,-0.09071,-0.31708
2196.616,-0.20826,-0.09016,-0.3165
2197.098,-0.2087,-0.08899,-0.31584
2197.58,-0.20942,-0.08707,-0.3149
2198.063,-0.21037,-0.08438,-0.31349
2198.545,-0.21145,-0.08098,-0.31153
2199.027,-0.21247,-0.07698,-0.30903
2199.509,-0.21321,-0.07251,-0.30614
2199.991,-0.21351,-0.06774,-0.3031
2200.473,-0.21332,-0.06282,-0.30017
2200.955,-0.21274,-0.058,-0.29754
2201.438,-0.21197,-0.05352,-0.29532
2201.92,-0.21131,-0.04961,-0.29348
2202.402,-0.21106,-0.04651,-0.29196
2202.884,-0.2114,-0.04436,-0.29068
2203.366,-0.21234,-0.04326,-0.28969
2203.848,-0.21374,-0.04317,-0.28919
2204.33,-0.2153,-0.04401,-0.28944
2204.813,-0.21665,-0.04568,-0.29075
2205.295,-0.21744,-0.04809,-0.29333
2205.777,-0.21737,-0.05119,-0.29724
2206.259,-0.21624,-0.05489,-0.30238
2206.741,-0.21395,-0.05905,-0.30843
2207.223,-0.21052,-0.06347,-0.31501
2207.705,-0.20614,-0.06784,-0.32169
2208.188,-0.20107,-0.07182,-0.32801
2208.67,-0.19577,-0.0751,-0.33352
2209.152,-0.1907,-0.07748,-0.33776
2209.634,-0.18639,-0.07888,-0.34035
2210.116,-0.1832,-0.07942,-0.34095
2210.598,-0.18133,-0.07934,-0.33941
2211.08,-0.18073,-0.07893,-0.33579
2211.563,-0.18108,-0.07849,-0.33045
2212.044,-0.18196,-0.07824,-0.32396
2212.527,-0.1829,-0.07827,-0.317
2213.009,-0.1836,-0.07858,-0.31024
2213.491,-0.1839,-0.0791,-0.30421
2213.973,-0.18384,-0.07975,-0.29919
2214.455,-0.18349,-0.08042,-0.29523
2214.937,-0.18293,-0.08107,-0.29221
2215.419,-0.18209,-0.08166,-0.28988
2215.902,-0.18078,-0.08221,-0.288
2216.384,-0.17871,-0.08279,-0.28633
2216.866,-0.17567,-0.08353,-0.2847
2217.348,-0.17159,-0.08461,-0.28298
2217.83,-0.16664,-0.08629,-0.28108
2218.312,-0.16118,-0.08882,-0.27902
2218.794,-0.1557,-0.09243,-0.27686
2219.277,-0.15061,-0.09724,-0.2748
2219.759,-0.14619,-0.1032,-0.2731
2220.241,-0.14241,-0.11008,-0.27206
2220.723,-0.13907,-0.11749,-0.2719
2221.205,-0.13576,-0.12497,-0.27273
2221.687,-0.13212,-0.13205,-0.27453
2222.169,-0.12792,-0.13843,-0.27716
2222.652,-0.12309,-0.14392,-0.28037
2223.134,-0.11783,-0.14853,-0.28405
2223.616,-0.11244,-0.15238,-0.28804
2224.098,-0.10727,-0.15568,-0.29233
2224.58,-0.10258,-0.15867,-0.2969
2225.062,-0.09854,-0.16152,-0.30171
2225.544,-0.09514,-0.16439,-0.3066
2226.027,-0.09229,-0.16744,-0.31133
2226.509,-0.08985,-0.17086,-0.31559
2226.991,-0.08771,-0.17485,-0.31908
2227.473,-0.08576,-0.17966,-0.32159
2227.955,-0.08402,-0.18546,-0.32305
2228.437,-0.08251,-0.19233,-0.32356
2228.919,-0.08129,-0.20022,-0.32335
2229.401,-0.08037,-0.2089,-0.32273
2229.884,-0.07969,-0.21805,-0.32207
2230.366,-0.07916,-0.22729,-0.32172
2230.848,-0.07861,-0.23623,-0.32204
2231.33,-0.07786,-0.24455,-0.32323
2231.812,-0.07676,-0.25205,-0.32546
2232.294,-0.07526,-0.25863,-0.32868
2232.776,-0.07334,-0.26427,-0.33271
2233.259,-0.07106,-0.26907,-0.33721
2233.741,-0.06853,-0.27313,-0.34177
2234.223,-0.06585,-0.27658,-0.34602
2234.705,-0.06303,-0.27957,-0.34973
2235.187,-0.06011,-0.28226,-0.35283
2235.669,-0.05705,-0.2848,-0.35541
2236.151,-0.05387,-0.28734,-0.35765
2236.634,-0.05056,-0.29,-0.35968
2237.116,-0.04728,-0.29289,-0.36149
2237.598,-0.04417,-0.29607,-0.36294
2238.08,-0.04145,-0.29962,-0.36372
2238.562,-0.03924,-0.30352,-0.36352
2239.044,-0.03764,-0.30771,-0.3621
2239.526,-0.03653,-0.31208,-0.35938
2240.009,-0.03569,-0.31642,-0.35547
2240.491,-0.03482,-0.32056,-0.35061
2240.973,-0.03361,-0.32431,-0.34511
2241.455,-0.03347,-0.32755,-0.33929
2241.937,-0.03407,-0.33026,-0.33344
2242.419,-0.03423,-0.33248,-0.32782
2242.901,-0.03429,-0.33435,-0.32267
2243.384,-0.03465,-0.33597,-0.31823
2243.865,-0.03574,-0.33748,-0.31477
2244.348,-0.03782,-0.33892,-0.31247
2244.83,-0.04094,-0.34031,-0.31143
2245.312,-0.04499,-0.34168,-0.3116
2245.794,-0.04964,-0.34304,-0.31279
2246.276,-0.05457,-0.34452,-0.31471
2246.758,-0.05938,-0.34624,-0.31704
2247.24,-0.06381,-0.34832,-0.3195
2247.723,-0.06767,-0.35085,-0.32194
2248.205,-0.0709,-0.35381,-0.32431
2248.687,-0.0735,-0.35711,-0.32665
2249.169,-0.07554,-0.36059,-0.329
2249.651,-0.07712,-0.36409,-0.33139
2250.133,-0.07845,-0.36752,-0.33382
2250.615,-0.07976,-0.37083,-0.33624
2251.098,-0.08131,-0.3741,-0.33853
2251.58,-0.08338,-0.37745,-0.34067
2252.062,-0.08619,-0.38102,-0.34258
2252.544,-0.08982,-0.38491,-0.34423
2253.026,-0.0942,-0.38921,-0.34559
2253.508,-0.09912,-0.39399,-0.34663
2253.99,-0.10428,-0.3993,-0.34732
2254.473,-0.10937,-0.40524,-0.34763
2254.955,-0.11418,-0.41184,-0.34755
2255.437,-0.11863,-0.41917,-0.34712
2255.919,-0.12283,-0.42719,-0.34641
2256.401,-0.12696,-0.43581,-0.3455
2256.883,-0.13122,-0.44488,-0.34448
2257.365,-0.13574,-0.45414,-0.34345
2257.848,-0.14058,-0.46333,-0.34244
2258.33,-0.14562,-0.47219,-0.34145
2258.812,-0.15069,-0.48048,-0.34046
2259.294,-0.15559,-0.48802,-0.33944
2259.776,-0.1602,-0.4946,-0.33833
2260.258,-0.16448,-0.5001,-0.33712
2260.74,-0.16847,-0.50438,-0.33582
2261.222,-0.17229,-0.50738,-0.33451
2261.705,-0.17603,-0.50914,-0.33329
2262.187,-0.17983,-0.50979,-0.33232
2262.669,-0.18371,-0.50953,-0.33174
2263.151,-0.18767,-0.50865,-0.33168
2263.633,-0.1917,-0.50744,-0.33215
2264.115,-0.19578,-0.50618,-0.33311
2264.597,-0.19994,-0.50509,-0.33441
2265.08,-0.20425,-0.50437,-0.33585
2265.562,-0.20884,-0.50414,-0.33722
2266.044,-0.21381,-0.50451,-0.33838
2266.526,-0.21928,-0.50553,-0.33928
2267.008,-0.22529,-0.50725,-0.33999
2267.49,-0.23182,-0.50969,-0.34063
2267.972,-0.23879,-0.51281,-0.3414
2268.455,-0.24603,-0.51653,-0.34247
2268.937,-0.25334,-0.52075,-0.34392
2269.419,-0.26051,-0.52531,-0.34579
2269.901,-0.26734,-0.5301,-0.34801
2270.383,-0.27365,-0.53501,-0.3505
2270.865,-0.27933,-0.53992,-0.35314
2271.347,-0.28432,-0.54476,-0.35586
2271.83,-0.28867,-0.54947,-0.35858
2272.312,-0.29243,-0.55403,-0.36133
2272.794,-0.29579,-0.55847,-0.3641
2273.276,-0.29894,-0.56286,-0.36695
2273.758,-0.30219,-0.56735,-0.36996
2274.24,-0.30582,-0.57212,-0.37321
2274.722,-0.31012,-0.57735,-0.37681
2275.205,-0.3153,-0.58318,-0.38085
2275.687,-0.32151,-0.58969,-0.38538
2276.169,-0.3287,-0.59689,-0.39043
2276.651,-0.33673,-0.60471,-0.39596
2277.133,-0.34533,-0.61308,-0.40189
2277.615,-0.3542,-0.6219,-0.40811
2278.097,-0.36302,-0.63117,-0.41449
2278.579,-0.37158,-0.64087,-0.42092
2279.062,-0.37974,-0.65098,-0.42728
2279.544,-0.38751,-0.66148,-0.43348
2280.026,-0.39493,-0.67231,-0.43944
2280.508,-0.40212,-0.68335,-0.44509
2280.99,-0.40924,-0.69451,-0.45036
2281.472,-0.41643,-0.70572,-0.45522
2281.954,-0.42384,-0.71692,-0.45963
2282.437,-0.43162,-0.72816,-0.46359
2282.919,-0.43988,-0.7395,-0.46713
2283.401,-0.44875,-0.75102,-0.47028
2283.883,-0.45825,-0.76279,-0.47317
2284.365,-0.46833,-0.77481,-0.4759
2284.847,-0.47885,-0.78707,-0.47866
2285.329,-0.48958,-0.79952,-0.48164
2285.812,-0.50028,-0.81211,-0.48499
2286.294,-0.51075,-0.82483,-0.48883
2286.776,-0.52086,-0.83765,-0.49322
2287.258,-0.53064,-0.8506,-0.4981
2287.74,-0.54024,-0.86371,-0.50337
2288.222,-0.54989,-0.87706,-0.50888
2288.704,-0.55986,-0.89072,-0.51452
2289.187,-0.57037,-0.90484,-0.52028
2289.669,-0.58158,-0.91957,-0.52623
2290.151,-0.5935,-0.93505,-0.53255
2290.633,-0.60608,-0.95143,-0.53948
2291.115,-0.61914,-0.9688,-0.54724
2291.597,-0.63255,-0.98724,-0.55605
2292.079,-0.64615,-1.00677,-0.56595
2292.562,-0.65985,-1.02739,-0.57697
2293.043,-0.67366,-1.04911,-0.589
2293.526,-0.68763,-1.07197,-0.60188
2294.008,-0.70184,-1.09605,-0.6154
2294.49,-0.71642,-1.12141,-0.62933
2294.972,-0.73144,-1.14805,-0.64342
2295.454,-0.74697,-1.17595,-0.65739
2295.936,-0.76298,-1.20496,-0.67097
2296.418,-0.77943,-1.23491,-0.68394
2296.901,-0.7962,-1.2656,-0.69617
2297.383,-0.81322,-1.29688,-0.70763
2297.865,-0.83042,-1.32864,-0.71839
2298.347,-0.8478,-1.36085,-0.72866
2298.829,-0.86539,-1.39355,-0.73867
2299.311,-0.8833,-1.42682,-0.7487
2299.793,-0.90162,-1.46079,-0.75899
2300.276,-0.92046,-1.49558,-0.76971
2300.758,-0.93986,-1.53134,-0.78098
2301.24,-0.9599,-1.56821,-0.79284
2301.722,-0.98058,-1.60633,-0.80527
2302.204,-1.00193,-1.64586,-0.81822
2302.686,-1.02397,-1.68688,-0.83162
2303.168,-1.04679,-1.72942,-0.84542
2303.651,-1.07049,-1.77341,-0.85956
2304.133,-1.09515,-1.81875,-0.87405
2304.615,-1.12083,-1.86529,-0.88895
2305.097,-1.14753,-1.91288,-0.90435
2305.579,-1.17515,-1.96135,-0.92035
2306.061,-1.20351,-2.01058,-0.93706
2306.543,-1.23237,-2.06047,-0.95451
2307.026,-1.26147,-2.11089,-0.97265
2307.508,-1.29059,-2.16178,-0.99134
2307.99,-1.31953,-2.21304,-1.01037
2308.472,-1.34818,-2.26465,-1.02952
2308.954,-1.37651,-2.3166,-1.04858
2309.436,-1.40452,-2.36899,-1.06743
2309.918,-1.43227,-2.4219,-1.08604
2310.4,-1.45987,-2.47547,-1.10443
2310.883,-1.4874,-2.52976,-1.12271
2311.365,-1.51501,-2.58477,-1.14099
2311.847,-1.54282,-2.6404,-1.15937
2312.329,-1.57094,-2.69645,-1.17795
2312.811,-1.59946,-2.7527,-1.19672
2313.293,-1.62844,-2.80891,-1.2157
2313.775,-1.65788,-2.86486,-1.23485
2314.258,-1.6877,-2.92039,-1.25412
2314.74,-1.71776,-2.9754,-1.27344
2315.222,-1.74791,-3.02988,-1.29274
2315.704,-1.77801,-3.08385,-1.31195
2316.186,-1.80793,-3.13738,-1.33108
2316.668,-1.83762,-3.19059,-1.35013
2317.15,-1.8671,-3.24366,-1.36919
2317.633,-1.89643,-3.2968,-1.38838
2318.115,-1.92572,-3.35023,-1.4078
2318.597,-1.95505,-3.40409,-1.42754
2319.079,-1.98454,-3.45848,-1.44758
2319.561,-2.01424,-3.51335,-1.46783
2320.043,-2.04417,-3.56856,-1.48813
2320.525,-2.07433,-3.62386,-1.50824
2321.008,-2.10471,-3.67903,-1.52797
2321.49,-2.13523,-3.73383,-1.54717
2321.972,-2.16579,-3.7881,-1.56577
2322.454,-2.19624,-3.84177,-1.58378
2322.936,-2.22645,-3.89482,-1.60128
2323.418,-2.25625,-3.94728,-1.61838
2323.9,-2.2855,-3.99916,-1.63518
2324.383,-2.31409,-4.05044,-1.65171
2324.865,-2.34202,-4.10105,-1.66803
2325.347,-2.36925,-4.15083,-1.68405
2325.829,-2.39578,-4.19957,-1.69967
2326.311,-2.42154,-4.24695,-1.71474
2326.793,-2.44643,-4.29251,-1.72902
2327.275,-2.47018,-4.33568,-1.74227
2327.757,-2.49248,-4.37582,-1.75418
2328.24,-2.513,-4.41229,-1.76453
2328.722,-2.53149,-4.44466,-1.77319
2329.204,-2.54783,-4.47274,-1.7802
2329.686,-2.56207,-4.4967,-1.78571
2330.168,-2.57445,-4.51702,-1.79008
2330.65,-2.58529,-4.53444,-1.79369
2331.132,-2.59505,-4.54981,-1.79695
2331.615,-2.60413,-4.56407,-1.80025
2332.097,-2.61294,-4.57807,-1.80389
2332.579,-2.62187,-4.59261,-1.8081
2333.061,-2.63121,-4.60834,-1.81307
2333.543,-2.64123,-4.62575,-1.81886
2334.025,-2.65212,-4.64515,-1.8255
2334.507,-2.66396,-4.66664,-1.83296
2334.99,-2.6768,-4.69013,-1.84112
2335.472,-2.69054,-4.71537,-1.84985
2335.954,-2.70509,-4.74212,-1.85902
2336.436,-2.72033,-4.77022,-1.86853
2336.918,-2.73621,-4.79967,-1.87833
2337.4,-2.75269,-4.8306,-1.88837
2337.882,-2.7698,-4.86319,-1.89861
2338.365,-2.78757,-4.89758,-1.90897
2338.847,-2.80608,-4.93377,-1.9193
2339.329,-2.82538,-4.97159,-1.92947
2339.811,-2.84552,-5.0107,-1.9394
2340.293,-2.86655,-5.05074,-1.94909
2340.775,-2.88848,-5.09134,-1.95868
2341.257,-2.91118,-5.13224,-1.96835
2341.74,-2.93446,-5.17323,-1.97832
2342.221,-2.95795,-5.21422,-1.98875
2342.704,-2.98131,-5.25506,-1.99968
2343.186,-3.00413,-5.29557,-2.01098
2343.668,-3.02613,-5.33552,-2.02244
2344.15,-3.04711,-5.37459,-2.03375
2344.632,-3.06702,-5.41239,-2.04465
2345.114,-3.08588,-5.44853,-2.05487
2345.596,-3.10368,-5.4826,-2.06426
2346.079,-3.1204,-5.51429,-2.07276
2346.561,-3.13598,-5.54343,-2.08036
2347.043,-3.15026,-5.56997,-2.08712
2347.525,-3.16313,-5.59405,-2.09312
2348.007,-3.17449,-5.61585,-2.09844
2348.489,-3.18435,-5.63553,-2.10315
2348.971,-3.19276,-5.65318,-2.10731
2349.454,-3.19981,-5.66874,-2.11097
2349.936,-3.20557,-5.68209,-2.11415
2350.418,-3.21009,-5.69297,-2.11685
2350.9,-3.21331,-5.70116,-2.11903
2351.382,-3.21513,-5.70647,-2.12058
2351.864,-3.21541,-5.70878,-2.12137
2352.346,-3.21401,-5.70803,-2.12121
2352.829,-3.21084,-5.70419,-2.11986
2353.311,-3.20583,-5.6973,-2.1172
2353.793,-3.19896,-5.68735,-2.11309
2354.275,-3.19027,-5.67439,-2.10753
2354.757,-3.17984,-5.65851,-2.1006
2355.239,-3.16776,-5.6398,-2.09244
2355.721,-3.15413,-5.61842,-2.08321
2356.204,-3.13902,-5.59448,-2.07307
2356.686,-3.12256,-5.56807,-2.06209
2357.168,-3.10481,-5.53924,-2.05031
2357.65,-3.08585,-5.50796,-2.0377
2358.132,-3.0657,-5.47421,-2.02419
2358.614,-3.04442,-5.43797,-2.00973
2359.096,-3.022,-5.39929,-1.9943
2359.578,-2.99845,-5.3583,-1.97794
2360.061,-2.97378,-5.31526,-1.96079
2360.543,-2.9481,-5.27057,-1.94302
2361.025,-2.92158,-5.22474,-1.9249
2361.507,-2.89447,-5.17837,-1.90677
2361.989,-2.86708,-5.13211,-1.88893
2362.471,-2.83981,-5.08657,-1.87168
2362.953,-2.81294,-5.04219,-1.8552
2363.436,-2.78669,-4.99917,-1.83952
2363.918,-2.76112,-4.95748,-1.82452
2364.4,-2.73617,-4.91682,-1.80996
2364.882,-2.71163,-4.87671,-1.79551
2365.364,-2.68721,-4.83652,-1.78085
2365.846,-2.66256,-4.79555,-1.76563
2366.328,-2.63727,-4.75309,-1.74958
2366.811,-2.61093,-4.70838,-1.73245
2367.293,-2.5831,-4.66072,-1.71406
2367.775,-2.5534,-4.60953,-1.69427
2368.257,-2.52154,-4.55438,-1.67302
2368.739,-2.48735,-4.49511,-1.65029
2369.221,-2.4508,-4.43176,-1.62614
2369.703,-2.41201,-4.36457,-1.60061
2370.186,-2.37117,-4.29384,-1.57381
2370.668,-2.32849,-4.21981,-1.54581
2371.15,-2.28412,-4.14266,-1.51664
2371.632,-2.23811,-4.06238,-1.48635
2372.114,-2.19046,-3.97893,-1.45501
2372.596,-2.14109,-3.89231,-1.42273
2373.078,-2.08996,-3.80262,-1.38971
2373.561,-2.03707,-3.71013,-1.35611
2374.042,-1.98253,-3.61521,-1.32216
2374.525,-1.92652,-3.5183,-1.28793
2375.007,-1.86933,-3.4198,-1.25348
2375.489,-1.81135,-3.32007,-1.21877
2375.971,-1.75299,-3.21943,-1.18379
2376.453,-1.6947,-3.11811,-1.14852
2376.935,-1.63686,-3.01636,-1.11305
2377.417,-1.57974,-2.91438,-1.07751
2377.9,-1.52347,-2.8124,-1.0421
2378.382,-1.46804,-2.71064,-1.00702
2378.864,-1.41337,-2.60934,-0.97243
2379.346,-1.35932,-2.50881,-0.93842
2379.828,-1.3058,-2.40936,-0.905
2380.31,-1.25279,-2.31132,-0.87212
2380.792,-1.20037,-2.21495,-0.83969
2381.275,-1.14864,-2.12042,-0.80759
2381.757,-1.09771,-2.0278,-0.77578
2382.239,-1.04772,-1.93708,-0.74419
2382.721,-0.9987,-1.84822,-0.71281
2383.203,-0.95069,-1.76119,-0.68168
2383.685,-0.90366,-1.67607,-0.65082
2384.167,-0.85764,-1.593,-0.62027
2384.65,-0.81264,-1.51216,-0.59005
2385.132,-0.76869,-1.43376,-0.56021
2385.614,-0.72586,-1.3579,-0.5308
2386.096,-0.68427,-1.28463,-0.50193
2386.578,-0.644,-1.21395,-0.47371
2387.06,-0.60518,-1.1458,-0.44631
2387.542,-0.56792,-1.08014,-0.41988
2388.025,-0.53228,-1.01697,-0.39456
2388.507,-0.4983,-0.9563,-0.37043
2388.989,-0.46596,-0.8981,-0.34752
2389.471,-0.43519,-0.84236,-0.32584
2389.953,-0.40589,-0.78899,-0.30537
2390.435,-0.37797,-0.73792,-0.2861
2390.917,-0.35135,-0.68908,-0.26804
2391.399,-0.326,-0.64243,-0.25117
2391.882,-0.30192,-0.59798,-0.23546
2392.364,-0.27916,-0.55579,-0.22084
2392.846,-0.25776,-0.51596,-0.20717
2393.328,-0.23774,-0.47854,-0.1943
2393.81,-0.21905,-0.44355,-0.1821
2394.292,-0.20168,-0.41092,-0.17042
2394.774,-0.18552,-0.38055,-0.1592
2395.257,-0.17046,-0.35229,-0.14842
2395.739,-0.15644,-0.32602,-0.13809
2396.221,-0.14338,-0.30163,-0.12825
2396.703,-0.13126,-0.27907,-0.11893
2397.185,-0.12006,-0.25832,-0.11013
2397.667,-0.10981,-0.2394,-0.1019
2398.149,-0.10053,-0.22228,-0.09422
2398.632,-0.09224,-0.20698,-0.08715
2399.114,-0.08493,-0.19344,-0.08074
2399.596,-0.07858,-0.18156,-0.07505
2400.078,-0.07317,-0.17125,-0.07012
2400.56,-0.06864,-0.16239,-0.06596
2401.042,-0.06491,-0.15491,-0.06249
2401.524,-0.0619,-0.14867,-0.05963
2402.007,-0.05955,-0.14357,-0.05719
2402.489,-0.05773,-0.13947,-0.0551
2402.971,-0.05632,-0.13621,-0.05319
2403.453,-0.05517,-0.13366,-0.05144
2403.935,-0.05417,-0.1316,-0.04982
2404.417,-0.05317,-0.12988,-0.04835
2404.899,-0.05209,-0.12834,-0.04709
2405.382,-0.05088,-0.12685,-0.04606
2405.864,-0.04954,-0.12536,-0.04528
2406.346,-0.04812,-0.12384,-0.04476
2406.828,-0.04668,-0.12229,-0.04445
2407.31,-0.04528,-0.12076,-0.04434
2407.792,-0.04398,-0.1193,-0.04438
2408.274,-0.04277,-0.11796,-0.04453
2408.756,-0.04159,-0.11676,-0.04475
2409.239,-0.04031,-0.11573,-0.04497
2409.721,-0.03883,-0.11485,-0.04512
2410.203,-0.03704,-0.11408,-0.04516
2410.685,-0.03485,-0.1134,-0.04502
2411.167,-0.03226,-0.11276,-0.04469
2411.649,-0.02938,-0.11215,-0.04416
2412.131,-0.02635,-0.11156,-0.04344
2412.614,-0.02335,-0.11099,-0.04258
2413.096,-0.02056,-0.11044,-0.04158
2413.578,-0.01812,-0.10991,-0.04048
2414.06,-0.0161,-0.10943,-0.03938
2414.542,-0.0145,-0.10897,-0.0383
2415.024,-0.01328,-0.10852,-0.0371
2415.506,-0.01235,-0.10806,-0.03575
2415.989,-0.0117,-0.1076,-0.03425
2416.471,-0.01131,-0.10716,-0.03261
2416.953,-0.0112,-0.10681,-0.03085
2417.435,-0.01144,-0.1066,-0.02902
2417.917,-0.01206,-0.10662,-0.02717
2418.399,-0.01305,-0.10692,-0.02537
2418.881,-0.01436,-0.1075,-0.02371
2419.364,-0.01592,-0.10832,-0.02226
2419.846,-0.01763,-0.10928,-0.02108
2420.328,-0.0194,-0.11021,-0.0202
2420.81,-0.02117,-0.11093,-0.0196
2421.292,-0.02291,-0.11127,-0.01925
2421.774,-0.02464,-0.11109,-0.01911
2422.256,-0.02635,-0.11038,-0.01913
2422.739,-0.02802,-0.10918,-0.0193
2423.22,-0.02963,-0.10761,-0.0196
2423.703,-0.03114,-0.10582,-0.02007
2424.185,-0.03252,-0.10399,-0.02069
2424.667,-0.03374,-0.10226,-0.02146
2425.149,-0.03481,-0.1007,-0.02235
2425.631,-0.03577,-0.09932,-0.02329
2426.113,-0.03662,-0.09812,-0.02419
2426.595,-0.03737,-0.09705,-0.025
2427.078,-0.03796,-0.09606,-0.02569
2427.56,-0.03836,-0.09517,-0.02625
2428.042,-0.03852,-0.09438,-0.02672
2428.524,-0.03841,-0.09368,-0.02713
2429.006,-0.03803,-0.09308,-0.02752
2429.488,-0.03748,-0.09259,-0.02789
2429.97,-0.03684,-0.09218,-0.02821
2430.453,-0.03624,-0.09183,-0.02843
2430.935,-0.03578,-0.09155,-0.02854
2431.417,-0.03555,-0.09131,-0.02854
2431.899,-0.03556,-0.09116,-0.02845
2432.381,-0.0358,-0.09109,-0.02833
2432.863,-0.03623,-0.09117,-0.02824
2433.345,-0.03678,-0.09139,-0.02825
2433.828,-0.03743,-0.09177,-0.02838
2434.31,-0.0381,-0.09229,-0.02866
2434.792,-0.03874,-0.09293,-0.02905
2435.274,-0.03933,-0.09368,-0.02953
2435.756,-0.03982,-0.09452,-0.03004
2436.238,-0.04019,-0.09542,-0.03056
2436.72,-0.04046,-0.09634,-0.03104
2437.203,-0.04065,-0.09725,-0.03149
2437.685,-0.04083,-0.09809,-0.03185
2438.167,-0.04108,-0.09884,-0.03211
2438.649,-0.04148,-0.09948,-0.03225
2439.131,-0.04208,-0.1,-0.03226
2439.613,-0.04293,-0.10044,-0.03216
2440.095,-0.04399,-0.10083,-0.03203
2440.577,-0.04522,-0.10123,-0.03189
2441.06,-0.04649,-0.10169,-0.03179
2441.542,-0.04772,-0.10221,-0.03176
2442.024,-0.04876,-0.1028,-0.03177
2442.506,-0.04953,-0.10341,-0.03179
2442.988,-0.05,-0.10398,-0.0318
2443.47,-0.05025,-0.10443,-0.03174
2443.952,-0.05041,-0.10473,-0.03162
2444.435,-0.05068,-0.10482,-0.03147
2444.917,-0.05123,-0.10469,-0.03132
2445.399,-0.05223,-0.10435,-0.03126
2445.881,-0.05374,-0.10384,-0.03131
2446.363,-0.05569,-0.10326,-0.03147
