Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
599.7784,-5.57417,-5.59086,-5.55179
600.2606,-5.56457,-5.57603,-5.52841
600.7427,-5.55574,-5.56117,-5.50517
601.2249,-5.54647,-5.54603,-5.48289
601.707,-5.53602,-5.5304,-5.46226
602.1891,-5.52422,-5.51412,-5.44364
602.6713,-5.51134,-5.49716,-5.42707
603.1534,-5.49783,-5.47963,-5.41226
603.6356,-5.484,-5.46176,-5.39873
604.1177,-5.46989,-5.44385,-5.38596
604.5998,-5.45535,-5.42612,-5.37344
605.082,-5.44015,-5.40865,-5.3608
605.5641,-5.4242,-5.39125,-5.34781
606.0462,-5.40761,-5.37355,-5.33436
606.5284,-5.39058,-5.35502,-5.32042
607.0105,-5.37325,-5.33513,-5.30604
607.4926,-5.35559,-5.31355,-5.29134
607.9748,-5.33726,-5.29017,-5.27639
608.4569,-5.31781,-5.26524,-5.26129
608.939,-5.29692,-5.2392,-5.24602
609.4212,-5.27456,-5.21265,-5.23051
609.9033,-5.25112,-5.18619,-5.21456
610.3854,-5.22725,-5.1603,-5.19791
610.8676,-5.20361,-5.13539,-5.18032
611.3497,-5.18057,-5.11175,-5.16159
611.8318,-5.15812,-5.08955,-5.14161
612.314,-5.13587,-5.06889,-5.1204
612.7961,-5.11332,-5.04973,-5.09804
613.2783,-5.09011,-5.03187,-5.07475
613.7604,-5.0663,-5.01497,-5.05075
614.2426,-5.04233,-4.99858,-5.02635
614.7247,-5.01898,-4.98223,-5.00186
615.2068,-4.99697,-4.96554,-4.97761
615.689,-4.97675,-4.94829,-4.95388
616.1711,-4.95831,-4.93045,-4.93089
616.6533,-4.94119,-4.91213,-4.90876
617.1354,-4.92465,-4.89351,-4.88751
617.6175,-4.90801,-4.87476,-4.86708
618.0997,-4.89075,-4.85595,-4.84736
618.5818,-4.87271,-4.83707,-4.82827
619.0639,-4.85396,-4.81803,-4.80976
619.5461,-4.83469,-4.79869,-4.79181
620.0282,-4.81507,-4.77893,-4.77441
620.5103,-4.79528,-4.75874,-4.75747
620.9925,-4.77547,-4.73815,-4.74089
621.4746,-4.75591,-4.71731,-4.72442
621.9567,-4.73701,-4.6964,-4.7079
622.4388,-4.71921,-4.67561,-4.69113
622.921,-4.70283,-4.65511,-4.67404
623.4031,-4.68797,-4.63498,-4.65667
623.8853,-4.67436,-4.61521,-4.63907
624.3674,-4.66146,-4.59575,-4.62134
