temperature,signal
864.25244,-0.000681687
866.1809,0.000827552
868.10937,0.00178
870.03784,0.000426134
871.9663,0.0003723
873.89477,-0.00294
875.82324,-0.000599715
877.75171,0.00135
879.68017,0.00256
881.60864,0.00293
883.5371,4.16699e-05
885.46557,-5.91941e-05
887.39404,-0.00215
889.32251,-0.00165
891.25097,-0.000813863
893.17944,-0.000267829
895.10791,0.00059906
897.03637,0.00163
898.96484,0.000879307
900.89331,0.00124
902.82177,0.0013
904.75024,0.00202
906.67871,0.00158
908.60717,0.00104
910.53564,0.00243
912.46411,0.000675306
914.39257,0.000846282
916.32104,-0.00175
918.24951,-0.000859297
920.17797,0.000843218
922.10644,0.00111
924.03491,0.000690431
925.96338,-6.92702e-05
927.89184,6.12372e-06
929.82031,0.000925532
931.74878,-2.06303e-05
933.67724,-0.00164
935.60571,-0.000155276
937.53418,0.00334
939.46264,0.00208
941.39111,0.00203
943.31958,-0.00205
945.24804,-0.000352824
947.17651,-0.000492344
949.10498,-0.000600206
951.03344,0.0003462
952.96191,-0.000952655
954.89038,0.000439237
956.81884,0.00303
958.74731,0.00122
960.67578,0.000599481
962.60424,0.00279
964.53271,0.00467
966.46118,0.00424
968.38964,0.00452
970.31811,0.0025
972.24658,-0.000446522
974.17504,-0.00122
976.10351,0.00078226
978.03198,0.00255
979.96045,0.00186
981.88891,0.000108676
983.81738,0.000292381
985.74584,0.000143618
987.67431,0.00171
989.60278,0.00223
991.53125,0.00226
993.45971,0.00199
995.38818,0.00129
997.31665,0.000882792
999.24511,0.000432423
1001.17358,-0.00268
1003.10205,-0.00117
1005.03051,0.00163
1006.95898,-0.000721058
1008.88745,-0.00373
1010.81591,-0.000744561
1012.74438,0.000537736
1014.67285,0.00358
1016.60131,0.000576902
1018.52978,0.0018
1020.45825,0.00165
1022.38671,-0.000225834
1024.31518,-0.00102
1026.24365,-0.000692344
1028.17211,-0.00221
1030.10058,-0.00136
1032.02905,0.00253
1033.95752,0.0022
1035.88598,0.0025
1037.81445,0.0031
1039.74292,0.00189
1041.67138,0.000291533
1043.59985,0.000348865
1045.52832,0.00319
1047.45678,0.000171819
1049.38525,0.000389384
1051.31372,0.00064958
1053.24218,-0.000358229
1055.17065,-0.000131046
1057.09912,0.00246
1059.02758,0.0029
1060.95605,0.00137
1062.88452,0.00097754
1064.81298,0.00128
1066.74145,0.0012
1068.66992,0.000547892
1070.59838,0.00116
1072.52685,0.00317
1074.45532,0.000646155
1076.38378,0.00282
1078.31225,0.00331
1080.24072,0.0056
1082.16919,0.00447
1084.09765,0.00131
1086.02612,0.000160426
1087.95459,0.00158
1089.88305,0.00296
1091.81152,0.00354
1093.73999,0.00265
1095.66845,0.00172
1097.59692,0.00196
1099.52539,0.00238
1101.45385,0.00319
1103.38232,0.00437
1105.31079,0.00384
1107.23925,0.00452
1109.16772,0.00439
1111.09619,0.00244
1113.02465,0.00277
1114.95312,0.00237
1116.88159,0.00195
1118.81005,0.00246
1120.73852,0.00154
1122.66699,0.00104
1124.59545,0.000915658
1126.52392,0.0028
1128.45239,0.00422
1130.38086,0.00316
1132.30932,0.00254
1134.23779,0.00223
1136.16626,0.000918654
1138.09472,0.00266
1140.02319,0.00416
1141.95166,0.00237
1143.88012,0.00235
1145.80859,0.00375
1147.73706,0.00351
1149.66552,0.00325
1151.59399,0.00325
1153.52246,0.00164
1155.45092,0.00324
1157.37939,0.0028
1159.30786,0.00143
1161.23632,0.00204
1163.16479,0.00262
1165.09326,0.00435
1167.02172,0.00495
1168.95019,0.00274
1170.87866,0.00202
1172.80712,0.00502
1174.73559,0.00173
1176.66406,0.00296
1178.59253,0.00212
1180.52099,0.00304
1182.44946,0.00362
1184.37793,0.00358
1186.30639,0.00455
1188.23486,0.0051
1190.16333,0.00513
1192.09179,0.0046
1194.02026,0.00437
1195.94873,0.00472
1197.87719,0.00306
1199.80566,0.00214
1201.73413,0.00328
1203.66259,0.00431
1205.59106,0.00421
1207.51953,0.00561
1209.44799,0.00493
1211.37646,0.00307
1213.30493,0.00332
1215.23339,0.00524
1217.16186,0.00459
1219.09033,0.00382
1221.01879,0.00531
1222.94726,0.00521
1224.87573,0.00472
1226.8042,0.00632
1228.73266,0.00491
1230.66113,0.00606
1232.5896,0.00518
1234.51806,0.0028
1236.44653,0.00248
1238.375,0.00464
1240.30346,0.00574
1242.23193,0.00486
1244.1604,0.00909
1246.08886,0.00732
1248.01733,0.00776
1249.9458,0.00867
1251.87426,0.00685
1253.80273,0.00493
1255.7312,0.00532
1257.65966,0.00665
1259.58813,0.00721
1261.5166,0.00851
1263.44506,0.00769
1265.37353,0.00555
1267.302,0.00534
1269.23046,0.0062
1271.15893,0.00706
1273.0874,0.00765
1275.01586,0.00742
1276.94433,0.00732
1278.8728,0.0097
1280.80127,0.00897
1282.72973,0.00703
1284.6582,0.00941
1286.58667,0.01072
1288.51513,0.01047
1290.4436,0.01196
1292.37207,0.01303
1294.30053,0.01267
1296.229,0.01245
1298.15747,0.01046
1300.08593,0.01666
1302.0144,0.01349
1303.94287,0.01588
1305.87133,0.0152
1307.7998,0.01653
1309.72827,0.01788
1311.65673,0.01833
1313.5852,0.01918
1315.51367,0.02072
1317.44213,0.02248
1319.3706,0.0227
1321.29907,0.02424
1323.22753,0.02777
1325.156,0.02712
1327.08447,0.03018
1329.01294,0.03195
1330.9414,0.03218
1332.86987,0.035
1334.79834,0.03807
1336.7268,0.03617
1338.65527,0.03848
1340.58374,0.04113
1342.5122,0.03818
1344.44067,0.03818
1346.36914,0.03887
1348.2976,0.03905
1350.22607,0.0378
1352.15454,0.0352
1354.083,0.03314
1356.01147,0.0323
1357.93994,0.03007
1359.8684,0.03117
1361.79687,0.02818
1363.72534,0.0256
1365.6538,0.02486
1367.58227,0.02313
1369.51074,0.02187
1371.4392,0.02113
1373.36767,0.02077
1375.29614,0.02107
1377.22461,0.02055
1379.15307,0.01814
1381.08154,0.01807
1383.01001,0.01832
1384.93847,0.01576
1386.86694,0.01602
1388.79541,0.01737
1390.72387,0.01802
1392.65234,0.01636
1394.58081,0.01591
1396.50927,0.01765
1398.43774,0.01558
1400.36621,0.01464
1402.29467,0.01557
1404.22314,0.01352
1406.15161,0.01219
1408.08007,0.01398
1410.00854,0.01441
1411.93701,0.01392
1413.86547,0.0154
1415.79394,0.01691
1417.72241,0.01494
1419.65087,0.01218
1421.57934,0.01346
1423.50781,0.01377
1425.43628,0.01591
1427.36474,0.01577
1429.29321,0.01645
1431.22168,0.01581
1433.15014,0.01454
1435.07861,0.01291
1437.00708,0.01344
1438.93554,0.01604
1440.86401,0.01676
1442.79248,0.01524
1444.72094,0.01536
1446.64941,0.01755
1448.57788,0.01826
1450.50634,0.0178
1452.43481,0.01716
1454.36328,0.0188
1456.29174,0.01851
1458.22021,0.01924
1460.14868,0.01924
1462.07714,0.01839
1464.00561,0.01981
1465.93408,0.01901
1467.86254,0.02097
1469.79101,0.0193
1471.71948,0.01882
1473.64795,0.02182
1475.57641,0.02342
1477.50488,0.02236
1479.43335,0.02145
1481.36181,0.02254
1483.29028,0.02364
1485.21875,0.02416
1487.14721,0.02539
1489.07568,0.02644
1491.00415,0.02761
1492.93261,0.02838
1494.86108,0.02895
1496.78955,0.02881
1498.71801,0.03142
1500.64648,0.03287
1502.57495,0.03214
1504.50341,0.03214
1506.43188,0.03446
1508.36035,0.03759
1510.28881,0.03963
1512.21728,0.04038
1514.14575,0.0403
1516.07421,0.0404
1518.00268,0.04378
1519.93115,0.04684
1521.85961,0.04865
1523.78808,0.05479
1525.71655,0.05711
1527.64502,0.05978
1529.57348,0.06283
1531.50195,0.06474
1533.43042,0.06755
1535.35888,0.07325
1537.28735,0.07975
1539.21582,0.08473
1541.14428,0.09005
1543.07275,0.09602
1545.00122,0.10021
1546.92968,0.11335
1548.85815,0.12384
1550.78662,0.13555
1552.71508,0.14853
1554.64355,0.16188
1556.57202,0.1732
1558.50048,0.18562
1560.42895,0.20168
1562.35742,0.22148
1564.28588,0.24822
1566.21435,0.28138
1568.14282,0.3156
1570.07128,0.34757
1571.99975,0.37484
1573.92822,0.39204
1575.85669,0.39983
1577.78515,0.40122
1579.71362,0.4102
1581.64209,0.43615
1583.57055,0.48056
1585.49902,0.554
1587.42749,0.67805
1589.35595,0.83714
1591.28442,0.96202
1593.21289,1.0
1595.14135,0.94202
1597.06982,0.82644
1598.99829,0.69485
